Schlaraffenlatein,Bedeutung
Aha,Der Geist der Schlaraffia inspiriert
Ahall(a),Jenseit
Ahnen,"Kleines Abzeichen, oft aus Metall, als Anerkennung für besondere Leistungen"
Allmutter,Bezeichnung für das erste schlaraffische Reych die Praga (1)
Ambt,Amt
Ambtskette,Zur Ausstattung jeder Wahlwürde gehört eine Ambtskette mit entsprechendem Ornament
Anno Uhui / a. U.,Jahresangabe nach schlaraffischer Zählweise
atzen,essen
Atzung,Essen
ausreiten,reisen
Ausritt,Reise
Benzinross,(s. auch Stinkross) Auto
berappen,bezahlen
Blitzfechsung,spontane Fechsung (meist kurz und knackig)
Brachmond,Juni
Brandfackel,Feuerzeug
Brandlethe,Schnaps
bresshaft,krank
Burg,Sippungsraum des Reyches
Burgfrau,Ehefrau
Burgknäpplein,Sohn
Burgmaid,Tochter
Burgschreck,Schwiegermutter
Burgvogt,Sorgt für den perfekten Zustand der Burg am Sippungsabend
Burgwonne,Lebensgefährtin
Ceremoniale,
Ceremonienmeister,Zelebriert den Einritt der Gäste und bereitet Ehrungen vor
Christmond,Dezember
Clavicimbel,Klavier
Dampfross,Eisenbahn
Ehe!,Freudiger Ausruf beim Heben des Gemäß kurz vorm Trinken
Ehrenritter,
Ehrenschlaraffe,
Einkleber,
Einritt,Besuch eines Schlaraffen in einem anderen Reych
Eismond,Januar
Erntemond,August
Erzschlaraffe,
erküren,wählen
Fechsung,"Vortrag in Prosa, Lyrik oder musikalisch. Texte sollten möglichst selbst verfasst sein."
Fehdehandschuh,
Fronburg,Profane Arbeitsstelle eines Schlaraffen
Froschlethe,(Mineral)wasser
Fungierender,"Oberschlaraffe, der durch die Sippung führt"
Gemäß,(Trink)Gefäß
Gestrenger,
Glock,
Guldener Ball,
Heimburg,Zuhause des Schlaraffen
Helm,Kopfbedeckung von Rittern und Junkern
Herbstmond,September
Herrlichkeit,"Anrede für den Oberschlaraffen, der durch die Sippung führt"
Heumond,Juli
Hornung,Februar
Humpen,Trinkgefäß
In arte voluptas,„In der Kunst liegt Vergnügen“ (Wahlspruch der Schlaraffia)
in Ahall einreiten,sterben
Jahrung,Jahr
Junker,Zwischenstufe auf dem Weg zum Ritter
Junkermeister,"Ritter, der die Knappen und Junker im Reych ausbildet"
Junkertafel,Fester Tisch in der Burg für Knappen und Junker
Kantzelar (K),(auch Kantzler) Leiter der Ambtskantzeley des Reyches und des Reycharchives
Klangbuch,
Knappe,
Knäpplein,Sohn des Schlaraffen
kneifen,Strafe oder Geld einsammeln
Knute,
Krystaline,Gemütliches Beisammensein nach einer Sippung oder während der Sommerung (dann auch Sommerkrystaline)
Kugelung,
laben,trinken
Labung,Getränk
Ladung,Einladung
Lenzmond,März
Lethe,Wein
Lethemond,Oktober
Lotterbett,"Bett, Liege"
Lulu!,Ausruf zur Begrüßung oder als Beifallsbekundung
Mammon,Geld
Marschall (M),"Führt die Reychsmatrikel, führt Protokoll und schlägt das Tamtam"
Minneholz,Gitarre
Mond,Monat
Mundschenk,
NAP,Nicht ambtliches Protokoll – Protokoll einer Sippung ohne feste Form
Netzburg,Internetauftritt des Reyches
Netzwisch,E-Mail
Oberschlaraffe,
Ostermond,April
Pilger,"Gast einer Sippung, der kein Mitglied ist"
Pön,Strafzahlung
Profanei,Das schnöde Leben außerhalb Schlaraffias
Profaner,Nicht-Mitglied bei Schlaraffia
Prüfling,"Person, die in die Schlaraffia aufgenommen werden möchte"
Quasselstrippe,Telefon
Quell,Bier
Reych,Schlaraffische Gruppe in einem Ort
Reychsinsignien,Aha-Orden und Zepter für den Fungierenden
Reychsmarschall,(s. Marschall)
Reychsschatzmeister,(s. Schatzmeister)
Ritter,
Rolandsnadel,
Rosenhobel,
Rostra,
Rüstung,
Säckelmeister,
Sassen,
Schaumlethe,"Sekt, Champagner"
Schatzmeister,
Schlaraffiade,Erste Sippung im Monat mit profanen Vereinsdingen
schmauchen,rauchen
Schmierbuch,Gästebuch
Schmuspause,Pause zwischen den Sippungsteilen
Schnarchross,Wohnmobil
Schnorrbeutel,(s. auch Kneiferbeutel)
Schwesternreych,
Sendbote,Brief oder E-Mail
Seufzerholz,Geige
Sippung,Regelmäßige Zusammenkünfte der Schlaraffen
Sommerung,Zeit von Wonnemond bis Herbstmond
Spiegel,
Sprengel,
Stammrolle,"Verzeichnis aller Reyche, Sassen, Ritternamen und Tituln"
Stinkross,(s. auch Benzinross) Auto
Sturmhaube,Kopfbedeckung des Knappen
Styx,Bedienung in der Burg
Tamtam,"Flachgong, der zu Beginn und Ende der Sippung vom Marschall geschlagen wird"
Taschenquassel,"Smartphone, Handy"
Thron,(Erhöhter) Platz der Oberschlaraffen während der Sippung
Tross,Familie eines Schlaraffen
Uhubaum,Weihnachtsbaum
Uhubaumfest,Weihnachtsfest
Uhufinsternis,Gegend ohne schlaraffisches Reych
Uhutag,Sippungstag
Uhuversum,Weltall
Vademecum,
Vorburg,
Wappen,
Westentasche,
Wiegenfest,Geburtstag
Windmond,November
Winterung,Zeit von Lethemond – Ostermond
Wonnemond,Mai
Lulu,"Das wohl wichtigste Wort bei Schlaraffia. Es ist ein Universalwort und kann u.a. als Begrüßung, Zustimmung, Jubel, Dank u.v.m. verwendet werden."
anno Uhui (a.U.),"Jahreszahl, dann aber nach schlaraffischer Zeitrechnung. Beispiel a.U. 161 entspricht 2020"
Sippung,Die regelmäßig stattfindenden Treffen von Schlaraffen und Gästen
Sasse,Mitglied bei Schlaraffia
Profaner,Nicht-Mitglied bei Schlaraffia
Pilger,"Ein Gast, der kein Schlaraffe ist"
Uhuversum,Die Welt und alles drumherum
Eismond,Januar
Hornung,Februar
Lenzmond,März
Ostermond,April
Wonnemond,Mai
Brachmond,Juni
Heumond,Juli
Erntemond,August
Herbstmond,September
Lethemond,Oktober
Windmond,November
Christmond,Dezember
